ClassDescKeywordId,Keyword,ClassDescriptionId,ClassCode,ClassSuffix,DirectOK
164,Trucking - Local Hauling (less than 200 miles),166,7219,0,Y
165,Trucking - Long Distance Hauling (more than 250 miles),167,7219,0,Y
166,Trucking - Parcel or Package Delivery,168,7197,0,E
167,Storage Warehouse - Cold,169,8291,1,N
379,Warehouse (Cold),169,8291,1,N
380,Warehouse (Furniture),170,8293,1,N
168,Storage Warehouse - Furniture,170,8293,1,N
492,Moving Company,170,8293,1,N
493,Movers,170,8293,1,N
494,Self-Storage Warehouses,171,8292,0,N
511,Mini-Storage,171,8292,0,N
512,Mini Storage,171,8292,0,N
169,Storage Warehouse - General,171,8292,0,N
381,Warehouse (General),171,8292,0,N
389,Churches,172,8840,0,Y
390,Synagogue,172,8840,0,Y
170,Religious Organizations,172,8840,0,Y
171,Commercial Cleaning Services/Janitorial,174,9030,0,Y
488,Property Preservation,174,9030,0,Y
424,Cleaning (Commercial),174,9030,0,Y
454,Janitorial (Commercial),174,9030,0,Y
172,Group Home,175,8865,2,N
173,Assisted Living Facility,176,8829,0,Y
174,Window Washing,178,9030,0,N
175,Equipment Rental,179,8107,0,E
176,Towing - Short Haul (under 200 miles),180,7219,0,Y
177,Towing - Long Haul (over 200 miles),182,7219,0,Y
178,"Dealers - Hay, Grain or Feed",183,8215,0,Y
179,Spas,184,9586,0,Y
453,Health Spa,184,9586,0,Y
417,Yogurt,1185,9072,0,Y
180,Ice Cream / Yogurt Shops,1185,9072,0,Y
181,Gun Shop,1187,8017,27,Y
509,Hunting Store,1187,8017,27,Y
182,Humane Society,1188,8831,0,N
289,Animal Shelter,1188,8831,0,N
183,Check Cashing Establishments,1189,8810,0,Y
184,Stenographer/Court Reporter,1190,8810,0,Y
457,Court Reporter,1190,8810,0,Y
185,Notaries,1191,8810,0,Y
186,Title Agents,1192,8810,0,Y
187,Ticket Agencies,1193,8810,0,Y
188,Telemarketing,1194,8810,0,Y
189,Travel Agencies,1198,8742,0,Y
474,Tours,1198,8742,0,Y
190,Public Relations Agencies,1199,8742,0,Y
191,Stockbrokers,1200,8742,0,Y
192,Financial Planners,1201,8742,0,Y
261,CFP,1201,8742,0,Y
262,Certified Financial Planners,1201,8742,0,Y
263,Estate Planners,1201,8742,0,Y
496,Financial Advisor,1201,8742,0,Y
497,Hedge Fund,1201,8742,0,Y
193,Credit Reporting Agencies,1202,8742,0,Y
194,Consultants,1203,8742,0,Y
460,Business Consulting,1203,8742,0,Y
195,Advertising Agencies,1204,8742,0,Y
401,Ad Agency,1204,8742,0,Y
376,Private Investigator,1205,7723,0,N
196,Detective/Investigator,1205,7723,0,N
472,Security Guard,1205,7723,0,N
197,Professional Trade Assocation,1206,9061,0,Y
353,Business Association,1206,9061,0,Y
